#separator:tab
#html:false
teknokrati	expertstyrt samhälle
förbigå	hoppa över
elevation	lyftning
ömka	tycka synd om
tes	sats som ska bevisas
cynism	råhet, känslokyla
pilt	gosse
körna	slå märke i metall
byke	slödder
gagna	vara till nytta  hjälpa, gynna, understödja, främja, gagna, befordra
förmodligen	antagligen
gloriös	ärorik
kiropraktik	ryggbehandling
katalysator	utlösare
självskriven	självklar
oredlig	ohederlig
injektera	förstärka
trauma	skada
temperera	mildra
accession	ökning
makadam	stenkross till vägbygge
ghostwriter	anonym författare
spasm	muskelryckning
performance	föreställning av konstnär
åsamka	vålla
hovera	kråma
fortuna	öde
bräcka	småsteka
garant	som tar ansvar för
bard	sångare; diktare
dirigent	orkesterledare
utröna	ta reda på
tyckmycken	petig
skvala	rinna kraftigt och ljudligt
skalmeja	ett instrument
stifta	grunda
eventualitet	möjlig händelse
rumstera	stöka och bråka
toujours	trevlig
negligé	nattlinne
finstilt	om väldigt liten text
dispens	befrielse från skyldighet
skrymsle	liten vrå
divergens	skiljaktighet
ajournera	skjuta upp
obsetrik	förlossningsvård
oansenlig	liten och obetydlig
falsifikat	förfalskning
ad libitum	efter behag
manisk	besatt
tektonik	läran om jordskorpan
passera revy	tåga förbi
meddelsam	pratglad
trångbröstad	oförstående
köl	fartygsbotten
verserad	artig
forcera	påskynda
dignitet	värde och rang
övlig	enligt rådande tradition
receptarie	apoteksutbildad
oländig	svårframkomlig
ardenner	en sorts häst
kambrosilur	lång geologisk period
pellets	pressade foderkulor
minnesbeta	läxa för framtiden
manschett	ärmlinning; droppskydd
leasa	hyra
änkestöt	slag mot armbågsnerven
abscess	bulnad
knussel	snålhet
lägra sig	bre ut sig
rustibuss	livligt barn
inadekvat	otillräcklig
hologram	tredimensionell bild
degel	värmetåligt kärl
barkad	väderbiten
pivå	tapp
tillmötesgående	tjänstvillig
inkrökt	självupptagen
exkommunicera	bannlysa
göt	typ av metallblock
nerts	mårddjur
käck	pigg
emulsion	olöst ämne i vätska
försaka	avstå från
acceptans	godkännande
novation	nybildning
ruva	skydda
mosaisk	judisk
gå av stapeln	äga rum
snörliv	korsett
välboren	av adlig släkt
albino	person med färgämnesbrist
au pair	barnflicka utomlands
blottställa	göra skyddslös
analfabet	illiterat
subjektiv	personlig och osaklig
osedvanlig	ovanlig
reservoar	stor behållare
skriande	uppenbar och upprörande
cello	stråkinstrument
luxuös	elegant
bokföring	ekonomisk redovisning
motorik	rörelseförmåga
evalvera	omräkna
tillskyndare	initiativtagare, pådrivare
ignorant	okunnig
aptera	anbringa
kvantmekanik	teori om småpartiklar
asyl	fristad
eunuck	kastrerad man
bivack	nattläger utomhus
tidelag	otukt med djur
apodiktisk	oemotsäglig
akustik	läran om ljud
inrotad	invand
mölla	kvarn
otillständig	fräck och oförskämd
burlesk	överdrivet komisk
evidensbaserad	vetenskapligt belagd
karikatyr	nidbild
abakus	matematisk kulram
docent	lärare vid universitet
schveifa	hamra ut
propå	förslag
andakt	högtidlig stund
stör	trästång
stigma	utpekande kroppsmärke
försåvida	om
bård	mönstrad kant
agna	beta
kolugn	fullkomligt lugn
vilsam	rofylld
immateriell	okroppslig
inhysa	ge bostad åt
dagtinga	göra eftergifter
lavinartad	snabb och stor
klientel	kundkrets
rankig	ostadig
libido	könsdrift
surmulen	butter
uppbåd	samling människor
inprägla	lära in
träta	litet gräl
fysioterapi	sjukgymnastik
kuliss	scendekor
uppsyn	ansiktsmin
lägga hämsko på	bromsa
heteronom	osjälvständig
deviation	avvikelse
inklination	böjelse
galvanometer	strömmätare
omvittnad	intygad av andra
approximativ	tillnärmelsevis
